index,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,avg,city,Cluster
66,1.0,1.0,0.5,1.0,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.9999999999999999,서울특별시 종로구,2
67,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,서울특별시 종로구,2
68,1.0,0.5,1.0,0.75,1.0,0.5,0.75,0.9999999999999999,0.9999999999999999,0.5,0.75,1.0,0.6666666666666666,서울특별시 종로구,0
69,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.33333333333333337,0.33333333333333337,0.5,0.5,0.5,0.6666666666666666,서울특별시 종로구,1
70,0.5,0.5,0.75,0.5,0.75,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.33333333333333337,서울특별시 종로구,1
71,1.0,0.5,0.75,0.75,0.75,0.5,0.75,0.33333333333333337,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 종로구,1
72,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.9999999999999999,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,서울특별시 종로구,0
73,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.9999999999999999,0.9999999999999999,1.0,0.75,0.75,0.6666666666666666,서울특별시 종로구,0
74,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,서울특별시 종로구,1
75,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9999999999999999,0.5,1.0,1.0,0.9999999999999999,서울특별시 종로구,0
76,0.5,0.75,0.75,0.75,1.0,0.5,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,서울특별시 종로구,1
77,0.25,0.25,0.25,1.0,0.5,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.9999999999999999,서울특별시 종로구,1
78,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.5,0.25,0.6666666666666666,서울특별시 종로구,1
79,0.5,0.5,0.75,1.0,0.5,0.5,0.5,0.33333333333333337,0.33333333333333337,0.5,0.5,0.5,0.9999999999999999,서울특별시 종로구,1
80,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,서울특별시 종로구,2
81,1.0,0.5,0.75,1.0,1.0,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,1.0,0.75,0.9999999999999999,서울특별시 종로구,0
