index,id,avg,nature,culture,traffic,sleep,food,shopping,inform,conv,kind,active,cost,busy,re,city
20533,2503062010A_155350,4,5,5,4,4.0,4,3,5,4,5,4,3,3,4,서울특별시 종로구
15477,39010660631_28764,4,4,3,4,4.0,4,4,3,3,3,3,3,2,4,서울특별시 종로구
11280,3401213079A_252326,4,4,3,4,4.0,5,4,4,4,4,3,4,4,4,서울특별시 종로구
11847,34080520451_337999,4,5,5,4,4.0,4,4,4,4,4,3,4,4,4,서울특별시 종로구
8855,31092700181_276761,4,4,5,4,4.0,3,4,4,4,3,4,4,4,4,서울특별시 종로구
19882,3901054198A_141670,4,3,4,4,4.0,4,4,4,4,4,3,3,2,4,서울특별시 종로구
21151,34080510371_254452,5,2,2,2,5.0,3,5,4,4,4,3,3,4,5,서울특별시 종로구
21185,35020640291_167224,3,4,3,2,3.0,3,3,3,3,3,3,3,4,3,서울특별시 종로구
14223,37090120501_258767,4,4,5,4,5.0,4,4,3,4,4,3,3,4,4,서울특별시 종로구
11840,34080510371_254452,5,2,2,2,5.0,3,5,4,4,4,3,3,4,5,서울특별시 종로구
9028,3110454152A_249130,4,4,4,4,4.0,4,3,4,3,4,3,3,4,4,서울특별시 종로구
9086,31130120891_43114,5,5,3,5,5.0,5,3,3,3,5,5,5,3,5,서울특별시 종로구
20313,22070751601_268186,4,4,5,4,4.0,4,3,4,4,4,3,2,2,4,서울특별시 종로구
20298,2206067121A_120364,4,3,3,4,4.0,4,4,4,4,4,4,4,3,4,서울특별시 종로구
2120,21040680181_3825,4,4,5,4,4.0,5,4,5,5,5,4,5,3,4,서울특별시 종로구
6255,2503062010A_155350,4,5,5,4,4.0,4,3,5,4,5,4,3,3,4,서울특별시 종로구
9054,3112051100A_128887,4,5,4,3,4.0,4,5,4,5,4,5,4,5,4,서울특별시 종로구
21115,3404040180A_20812,4,4,4,3,5.0,4,4,3,4,4,3,3,4,5,서울특별시 종로구
9368,31191310981_160741,4,4,4,3,4.0,3,4,3,3,4,4,4,4,4,서울특별시 종로구
18999,34080510371_254452,5,2,2,2,5.0,3,5,4,4,4,3,3,4,5,서울특별시 종로구
